Country name,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score
Finland,10.792,0.969,71.15,0.961,-0.019,0.182,7.804
Denmark,10.962,0.954,71.25,0.934,0.134,0.196,7.586
Iceland,10.896,0.983,72.05,0.936,0.211,0.668,7.53
Israel,10.639,0.943,72.697,0.809,-0.023,0.708,7.473
Netherlands,10.942,0.93,71.55,0.887,0.213,0.379,7.403
Sweden,10.883,0.939,72.15,0.948,0.165,0.202,7.395
Norway,11.088,0.943,71.5,0.947,0.141,0.283,7.315
Switzerland,11.164,0.92,72.9,0.891,0.027,0.266,7.24
Luxembourg,11.66,0.879,71.675,0.915,0.024,0.345,7.228
New Zealand,10.662,0.952,70.35,0.887,0.175,0.271,7.123
Austria,10.899,0.888,71.15,0.855,0.102,0.497,7.097
Australia,10.821,0.934,71.05,0.89,0.198,0.496,7.095
Canada,10.773,0.929,71.4,0.874,0.153,0.42,6.961
Ireland,11.527,0.905,71.3,0.874,0.092,0.358,6.911
United States,11.048,0.919,65.85,0.8,0.137,0.689,6.894
Germany,10.879,0.896,71.3,0.846,0.03,0.42,6.892
Belgium,10.844,0.915,70.899,0.825,0.001,0.549,6.859
Czechia,10.611,0.953,69.05,0.903,0.04,0.859,6.845
United Kingdom,10.704,0.882,70.3,0.852,0.253,0.454,6.796
Lithuania,10.568,0.939,67.397,0.748,-0.145,0.805,6.763
France,10.701,0.909,72.3,0.819,-0.1,0.553,6.661
Slovenia,10.588,0.951,71.052,0.913,0.014,0.771,6.65
Costa Rica,9.952,0.872,70,0.895,-0.07,0.768,6.609
Romania,10.339,0.848,67.051,0.856,-0.172,0.929,6.589
Singapore,11.571,0.878,73.8,0.878,0.063,0.146,6.587
United Arab Emirates,11.145,0.826,66.243,0.942,0.096,0.584,6.571
Taiwan Province of China,10.797,0.884,69.6,0.804,-0.129,0.681,6.535
Uruguay,10.037,0.913,67.5,0.895,-0.065,0.575,6.494
Slovakia,10.353,0.953,68.838,0.753,-0.016,0.898,6.469
Saudi Arabia,10.715,0.884,64.399,0.894,-0.081,0.691,6.463
Estonia,10.541,0.946,69.65,0.929,0.032,0.409,6.455
Spain,10.54,0.932,72.35,0.782,-0.066,0.711,6.436
Italy,10.634,0.882,72.05,0.711,-0.074,0.842,6.405
Kosovo,9.359,0.844,65.195,0.861,0.259,0.866,6.368
Chile,10.114,0.889,70.3,0.792,-0.011,0.823,6.334
Mexico,9.85,0.804,65.8,0.856,-0.094,0.768,6.33
Malta,10.661,0.923,71.6,0.886,0.119,0.729,6.3
Panama,10.305,0.896,68.95,0.855,-0.133,0.878,6.265
Poland,10.453,0.925,69.049,0.765,-0.031,0.736,6.26
Nicaragua,8.618,0.853,65.65,0.877,0.021,0.625,6.259
Latvia,10.37,0.937,66.4,0.818,-0.056,0.83,6.213
Bahrain,10.776,0.844,65.825,0.944,0.117,0.737,6.173
Guatemala,9.116,0.812,62.9,0.856,-0.057,0.837,6.15
Kazakhstan,10.166,0.931,65.802,0.853,0,0.721,6.144
Serbia,9.854,0.873,67.088,0.845,0.204,0.816,6.144
Cyprus,10.611,0.826,72.802,0.724,-0.06,0.86,6.13
Japan,10.616,0.894,74.349,0.799,-0.237,0.64,6.129
Croatia,10.341,0.917,68.95,0.757,-0.093,0.925,6.125
Brazil,9.582,0.836,65.749,0.801,-0.009,0.738,6.125
El Salvador,9.089,0.755,65.597,0.918,-0.108,0.62,6.122
Hungary,10.419,0.943,67.5,0.758,-0.059,0.839,6.041
Argentina,9.959,0.891,67.2,0.823,-0.089,0.814,6.024
Honduras,8.635,0.766,64.063,0.843,0.097,0.843,6.023
Uzbekistan,8.948,0.875,65.301,0.938,0.23,0.638,6.014
Malaysia,10.169,0.799,65.662,0.877,0.16,0.758,6.012
Portugal,10.429,0.878,71.25,0.902,-0.196,0.878,5.968
South Korea,10.693,0.812,73.65,0.717,-0.046,0.701,5.951
Greece,10.288,0.835,71.15,0.568,-0.24,0.793,5.931
Mauritius,9.957,0.888,63.85,0.813,-0.028,0.775,5.902
Thailand,9.751,0.874,68.45,0.85,0.289,0.91,5.843
Mongolia,9.372,0.933,60.5,0.701,0.19,0.849,5.84
Kyrgyzstan,8.486,0.911,66.852,0.934,0.181,0.904,5.825
Moldova,9.499,0.857,65.299,0.84,-0.08,0.901,5.819
China,9.738,0.836,68.689,0.882,-0.041,0.727,5.818
Vietnam,9.287,0.821,65.502,0.939,-0.004,0.759,5.763
Paraguay,9.51,0.906,65.9,0.891,0.021,0.843,5.738
Montenegro,9.813,0.89,67.1,0.805,0.063,0.844,5.722
Jamaica,9.165,0.867,66.6,0.822,-0.106,0.875,5.703
Bolivia,8.985,0.811,63.599,0.868,-0.063,0.846,5.684
Russia,10.21,0.889,64.947,0.719,-0.03,0.801,5.661
Bosnia and Herzegovina,9.616,0.88,67.275,0.746,0.206,0.918,5.633
Colombia,9.584,0.822,69.35,0.804,-0.104,0.834,5.63
Dominican Republic,9.811,0.827,64.399,0.85,-0.099,0.657,5.569
Ecuador,9.27,0.806,69,0.802,-0.108,0.833,5.559
Peru,9.402,0.798,69.85,0.794,-0.119,0.892,5.526
Philippines,8.979,0.78,62.038,0.919,-0.06,0.732,5.523
Bulgaria,10.087,0.918,66.5,0.801,-0.057,0.911,5.466
Nepal,8.256,0.748,61.847,0.808,0.146,0.783,5.36
Armenia,9.615,0.79,67.789,0.796,-0.155,0.705,5.342
Tajikistan,8.237,0.836,62.226,0.832,-0.06,0.522,5.33
Algeria,9.3,0.855,66.549,0.571,-0.117,0.717,5.329
Hong Kong S.A.R. of China,10.966,0.817,77.28,0.687,-0.026,0.385,5.308
Albania,9.567,0.718,69.15,0.794,-0.007,0.878,5.277
Indonesia,9.385,0.804,63.048,0.88,0.531,0.876,5.277
South Africa,9.478,0.907,56.989,0.73,-0.087,0.902,5.275
Congo (Brazzaville),8.095,0.605,56.85,0.73,-0.004,0.739,5.267
North Macedonia,9.703,0.805,66.5,0.769,0.131,0.902,5.254
Venezuela,5.527,0.839,64.05,0.659,0.128,0.811,5.211
Laos,8.962,0.679,60.946,0.919,0.091,0.703,5.111
Georgia,9.646,0.716,64.95,0.786,-0.254,0.649,5.109
Guinea,7.88,0.649,54.185,0.659,0.125,0.787,5.072
Ukraine,9.314,0.878,64.55,0.795,0.24,0.907,5.071
Ivory Coast,8.576,0.572,55.953,0.733,0.003,0.746,5.053
Gabon,9.537,0.746,58.252,0.642,-0.187,0.786,5.035
Nigeria,8.496,0.74,54.891,0.718,0.073,0.911,4.981
Cameroon,8.217,0.686,55.847,0.686,0.015,0.846,4.973
Mozambique,7.116,0.692,51.53,0.851,0.047,0.66,4.954
Iraq,9.098,0.718,63.415,0.646,-0.005,0.876,4.941
State of Palestine,8.716,0.859,,0.694,-0.132,0.836,4.908
Morocco,8.973,0.553,63.901,0.787,-0.231,0.811,4.903
Iran,9.61,0.778,66.6,0.593,0.173,0.747,4.876
Senegal,8.155,0.629,59.999,0.772,0.011,0.846,4.855
Mauritania,8.591,0.644,60.475,0.622,-0.013,0.657,4.724
Burkina Faso,7.667,0.663,55.461,0.696,0.095,0.771,4.638
Namibia,9.121,0.787,56.851,0.669,-0.126,0.83,4.631
Turkiye,10.307,0.796,68.663,0.475,-0.077,0.795,4.614
Ghana,8.596,0.641,58.763,0.777,0.139,0.881,4.605
Pakistan,8.54,0.601,57.313,0.766,0.008,0.787,4.555
Niger,7.091,0.59,56.55,0.788,0.032,0.734,4.501
Tunisia,9.244,0.73,67,0.576,-0.213,0.907,4.497
Kenya,8.458,0.69,58.499,0.696,0.288,0.852,4.487
Sri Lanka,9.491,0.826,67.15,0.787,-0.03,0.808,4.442
Uganda,7.716,0.794,58.913,0.701,0.114,0.857,4.432
Chad,7.261,0.722,53.125,0.677,0.221,0.807,4.397
Cambodia,8.385,0.747,61.9,0.958,0.073,0.857,4.393
Benin,8.103,0.437,56.095,0.743,-0.043,0.576,4.374
Myanmar,8.404,0.787,61.388,0.727,0.491,0.658,4.372
Bangladesh,8.685,0.544,64.548,0.845,0.005,0.698,4.282
Gambia,7.648,0.584,57.9,0.596,0.364,0.883,4.279
Mali,7.655,0.593,55.403,0.713,-0.028,0.846,4.198
Egypt,9.367,0.726,63.503,0.732,-0.183,0.58,4.17
Togo,7.673,0.595,57.449,0.657,0.024,0.74,4.137
Jordan,9.13,0.729,67.6,0.77,-0.15,0.687,4.12
Ethiopia,7.739,0.782,60.698,0.72,0.273,0.789,4.091
Liberia,7.277,0.596,56.7,0.735,0.154,0.83,4.042
India,8.759,0.608,60.777,0.897,0.072,0.774,4.036
Madagascar,7.29,0.65,58.05,0.522,0.075,0.742,4.019
Zambia,8.074,0.694,55.032,0.791,0.098,0.818,3.982
Tanzania,7.857,0.653,59.401,0.838,0.182,0.554,3.694
Comoros,8.075,0.471,59.425,0.47,-0.014,0.727,3.545
Malawi,7.302,0.531,58.475,0.75,0.005,0.749,3.495
Botswana,9.629,0.753,54.725,0.742,-0.215,0.83,3.435
Congo (Kinshasa),7.007,0.652,55.375,0.664,0.086,0.834,3.207
Zimbabwe,7.641,0.69,54.05,0.654,-0.046,0.766,3.204
Sierra Leone,7.394,0.555,54.9,0.66,0.105,0.858,3.138
Lebanon,9.478,0.53,66.149,0.474,-0.141,0.891,2.392
Afghanistan,7.324,0.341,54.712,0.382,-0.081,0.847,1.859
